Statistic,Year,Type of Land Use,Region,UNIT,VALUE
Area Farmed in June,2020,Other cereals,Mid-West,000 Hectares,0.2
Area Farmed in June,2020,Other cereals,South-East,000 Hectares,0.2
Area Farmed in June,2020,Other cereals,South-West,000 Hectares,0.1
Area Farmed in June,2020,Other cereals,Eastern and Midland,000 Hectares,0.5
Area Farmed in June,2020,Other cereals,Dublin and Mid-East,000 Hectares,0.3
Area Farmed in June,2020,Other cereals,Midland,000 Hectares,0.1
Area Farmed in June,2020,Rough grazing in use,State,000 Hectares,471.8
Area Farmed in June,2020,Rough grazing in use,Northern and Western,000 Hectares,252.0
Area Farmed in June,2020,Rough grazing in use,Border,000 Hectares,128.5
Area Farmed in June,2020,Rough grazing in use,West,000 Hectares,123.6
Area Farmed in June,2020,Rough grazing in use,Southern,000 Hectares,185.7
Area Farmed in June,2020,Rough grazing in use,Mid-West,000 Hectares,46.4
Area Farmed in June,2020,Rough grazing in use,South-East,000 Hectares,14.2
Area Farmed in June,2020,Rough grazing in use,South-West,000 Hectares,125.1
Area Farmed in June,2020,Rough grazing in use,Eastern and Midland,000 Hectares,34.0
Area Farmed in June,2020,Rough grazing in use,Dublin and Mid-East,000 Hectares,19.7
Area Farmed in June,2020,Rough grazing in use,Midland,000 Hectares,14.3
Area Farmed in June,2021,Area farmed (AAU),State,000 Hectares,
Area Farmed in June,2021,Area farmed (AAU),Northern and Western,000 Hectares,
Area Farmed in June,2021,Area farmed (AAU),Border,000 Hectares,
Area Farmed in June,2021,Area farmed (AAU),West,000 Hectares,
Area Farmed in June,2021,Area farmed (AAU),Southern,000 Hectares,
Area Farmed in June,2021,Area farmed (AAU),Mid-West,000 Hectares,
Area Farmed in June,2021,Area farmed (AAU),South-East,000 Hectares,
Area Farmed in June,2021,Area farmed (AAU),South-West,000 Hectares,
Area Farmed in June,2021,Area farmed (AAU),Eastern and Midland,000 Hectares,
Area Farmed in June,2021,Area farmed (AAU),Dublin and Mid-East,000 Hectares,
Area Farmed in June,2021,Area farmed (AAU),Midland,000 Hectares,
Area Farmed in June,2021,Crops and pasture,State,000 Hectares,
Area Farmed in June,2021,Crops and pasture,Northern and Western,000 Hectares,
Area Farmed in June,2021,Crops and pasture,Border,000 Hectares,
Area Farmed in June,2021,Crops and pasture,West,000 Hectares,
Area Farmed in June,2021,Crops and pasture,Southern,000 Hectares,
Area Farmed in June,2021,Crops and pasture,Mid-West,000 Hectares,
Area Farmed in June,2021,Crops and pasture,South-East,000 Hectares,
Area Farmed in June,2021,Crops and pasture,South-West,000 Hectares,
Area Farmed in June,2021,Crops and pasture,Eastern and Midland,000 Hectares,
Area Farmed in June,2021,Crops and pasture,Dublin and Mid-East,000 Hectares,
Area Farmed in June,2021,Crops and pasture,Midland,000 Hectares,
Area Farmed in June,2021,Pasture,State,000 Hectares,
Area Farmed in June,2021,Pasture,Northern and Western,000 Hectares,
Area Farmed in June,2021,Pasture,Border,000 Hectares,
Area Farmed in June,2021,Pasture,West,000 Hectares,
Area Farmed in June,2021,Pasture,Southern,000 Hectares,
Area Farmed in June,2021,Pasture,Mid-West,000 Hectares,
Area Farmed in June,2021,Pasture,South-East,000 Hectares,
Area Farmed in June,2021,Pasture,South-West,000 Hectares,
Area Farmed in June,2021,Pasture,Eastern and Midland,000 Hectares,
Area Farmed in June,2021,Pasture,Dublin and Mid-East,000 Hectares,
Area Farmed in June,2021,Pasture,Midland,000 Hectares,
Area Farmed in June,2021,Hay,State,000 Hectares,
Area Farmed in June,2021,Hay,Northern and Western,000 Hectares,
Area Farmed in June,2021,Hay,Border,000 Hectares,
Area Farmed in June,2021,Hay,West,000 Hectares,
Area Farmed in June,2021,Hay,Southern,000 Hectares,
Area Farmed in June,2021,Hay,Mid-West,000 Hectares,
Area Farmed in June,2021,Hay,South-East,000 Hectares,
Area Farmed in June,2021,Hay,South-West,000 Hectares,
Area Farmed in June,2021,Hay,Eastern and Midland,000 Hectares,
Area Farmed in June,2021,Hay,Dublin and Mid-East,000 Hectares,
Area Farmed in June,2021,Hay,Midland,000 Hectares,
Area Farmed in June,2021,Grass silage,State,000 Hectares,
Area Farmed in June,2021,Grass silage,Northern and Western,000 Hectares,
Area Farmed in June,2021,Grass silage,Border,000 Hectares,
Area Farmed in June,2021,Grass silage,West,000 Hectares,
Area Farmed in June,2021,Grass silage,Southern,000 Hectares,
Area Farmed in June,2021,Grass silage,Mid-West,000 Hectares,
Area Farmed in June,2021,Grass silage,South-East,000 Hectares,
Area Farmed in June,2021,Grass silage,South-West,000 Hectares,
Area Farmed in June,2021,Grass silage,Eastern and Midland,000 Hectares,
Area Farmed in June,2021,Grass silage,Dublin and Mid-East,000 Hectares,
Area Farmed in June,2021,Grass silage,Midland,000 Hectares,
Area Farmed in June,2021,"Total crops, fruit and horticulture",State,000 Hectares,
Area Farmed in June,2021,"Total crops, fruit and horticulture",Northern and Western,000 Hectares,
Area Farmed in June,2021,"Total crops, fruit and horticulture",Border,000 Hectares,
Area Farmed in June,2021,"Total crops, fruit and horticulture",West,000 Hectares,
Area Farmed in June,2021,"Total crops, fruit and horticulture",Southern,000 Hectares,
Area Farmed in June,2021,"Total crops, fruit and horticulture",Mid-West,000 Hectares,
Area Farmed in June,2021,"Total crops, fruit and horticulture",South-East,000 Hectares,
Area Farmed in June,2021,"Total crops, fruit and horticulture",South-West,000 Hectares,
Area Farmed in June,2021,"Total crops, fruit and horticulture",Eastern and Midland,000 Hectares,
Area Farmed in June,2021,"Total crops, fruit and horticulture",Dublin and Mid-East,000 Hectares,
Area Farmed in June,2021,"Total crops, fruit and horticulture",Midland,000 Hectares,
Area Farmed in June,2021,Beans and peas,State,000 Hectares,
Area Farmed in June,2021,Beans and peas,Northern and Western,000 Hectares,
Area Farmed in June,2021,Beans and peas,Border,000 Hectares,
Area Farmed in June,2021,Beans and peas,West,000 Hectares,
Area Farmed in June,2021,Beans and peas,Southern,000 Hectares,
Area Farmed in June,2021,Beans and peas,Mid-West,000 Hectares,
Area Farmed in June,2021,Beans and peas,South-East,000 Hectares,
Area Farmed in June,2021,Beans and peas,South-West,000 Hectares,
Area Farmed in June,2021,Beans and peas,Eastern and Midland,000 Hectares,
Area Farmed in June,2021,Beans and peas,Dublin and Mid-East,000 Hectares,
Area Farmed in June,2021,Beans and peas,Midland,000 Hectares,
Area Farmed in June,2021,Oilseed rape,State,000 Hectares,
Area Farmed in June,2021,Oilseed rape,Northern and Western,000 Hectares,
Area Farmed in June,2021,Oilseed rape,Border,000 Hectares,
Area Farmed in June,2021,Oilseed rape,West,000 Hectares,
Area Farmed in June,2021,Oilseed rape,Southern,000 Hectares,
Area Farmed in June,2021,Oilseed rape,Mid-West,000 Hectares,
Area Farmed in June,2021,Oilseed rape,South-East,000 Hectares,
Area Farmed in June,2021,Oilseed rape,South-West,000 Hectares,
Area Farmed in June,2021,Oilseed rape,Eastern and Midland,000 Hectares,
Area Farmed in June,2021,Oilseed rape,Dublin and Mid-East,000 Hectares,
Area Farmed in June,2021,Oilseed rape,Midland,000 Hectares,
Area Farmed in June,2021,Arable silage,State,000 Hectares,
Area Farmed in June,2021,Arable silage,Northern and Western,000 Hectares,
Area Farmed in June,2021,Arable silage,Border,000 Hectares,
Area Farmed in June,2021,Arable silage,West,000 Hectares,
Area Farmed in June,2021,Arable silage,Southern,000 Hectares,
Area Farmed in June,2021,Arable silage,Mid-West,000 Hectares,
Area Farmed in June,2021,Arable silage,South-East,000 Hectares,
Area Farmed in June,2021,Arable silage,South-West,000 Hectares,
Area Farmed in June,2021,Arable silage,Eastern and Midland,000 Hectares,
Area Farmed in June,2021,Arable silage,Dublin and Mid-East,000 Hectares,
Area Farmed in June,2021,Arable silage,Midland,000 Hectares,
Area Farmed in June,2021,Maize silage,State,000 Hectares,
Area Farmed in June,2021,Maize silage,Northern and Western,000 Hectares,
Area Farmed in June,2021,Maize silage,Border,000 Hectares,
Area Farmed in June,2021,Maize silage,West,000 Hectares,
Area Farmed in June,2021,Maize silage,Southern,000 Hectares,
Area Farmed in June,2021,Maize silage,Mid-West,000 Hectares,
Area Farmed in June,2021,Maize silage,South-East,000 Hectares,
Area Farmed in June,2021,Maize silage,South-West,000 Hectares,
Area Farmed in June,2021,Maize silage,Eastern and Midland,000 Hectares,
Area Farmed in June,2021,Maize silage,Dublin and Mid-East,000 Hectares,
Area Farmed in June,2021,Maize silage,Midland,000 Hectares,
Area Farmed in June,2021,Fodder rape and kale,State,000 Hectares,
Area Farmed in June,2021,Fodder rape and kale,Northern and Western,000 Hectares,
Area Farmed in June,2021,Fodder rape and kale,Border,000 Hectares,
Area Farmed in June,2021,Fodder rape and kale,West,000 Hectares,
Area Farmed in June,2021,Fodder rape and kale,Southern,000 Hectares,
Area Farmed in June,2021,Fodder rape and kale,Mid-West,000 Hectares,
Area Farmed in June,2021,Fodder rape and kale,South-East,000 Hectares,
Area Farmed in June,2021,Fodder rape and kale,South-West,000 Hectares,
Area Farmed in June,2021,Fodder rape and kale,Eastern and Midland,000 Hectares,
Area Farmed in June,2021,Fodder rape and kale,Dublin and Mid-East,000 Hectares,
Area Farmed in June,2021,Fodder rape and kale,Midland,000 Hectares,
Area Farmed in June,2021,Potatoes,State,000 Hectares,8.6
Area Farmed in June,2021,Potatoes,Northern and Western,000 Hectares,
Area Farmed in June,2021,Potatoes,Border,000 Hectares,
Area Farmed in June,2021,Potatoes,West,000 Hectares,
Area Farmed in June,2021,Potatoes,Southern,000 Hectares,
Area Farmed in June,2021,Potatoes,Mid-West,000 Hectares,
Area Farmed in June,2021,Potatoes,South-East,000 Hectares,
Area Farmed in June,2021,Potatoes,South-West,000 Hectares,
Area Farmed in June,2021,Potatoes,Eastern and Midland,000 Hectares,
Area Farmed in June,2021,Potatoes,Dublin and Mid-East,000 Hectares,
Area Farmed in June,2021,Potatoes,Midland,000 Hectares,
Area Farmed in June,2021,Turnips,State,000 Hectares,
Area Farmed in June,2021,Turnips,Northern and Western,000 Hectares,
Area Farmed in June,2021,Turnips,Border,000 Hectares,
Area Farmed in June,2021,Turnips,West,000 Hectares,
Area Farmed in June,2021,Turnips,Southern,000 Hectares,
Area Farmed in June,2021,Turnips,Mid-West,000 Hectares,
Area Farmed in June,2021,Turnips,South-East,000 Hectares,
Area Farmed in June,2021,Turnips,South-West,000 Hectares,
Area Farmed in June,2021,Turnips,Eastern and Midland,000 Hectares,
Area Farmed in June,2021,Turnips,Dublin and Mid-East,000 Hectares,
Area Farmed in June,2021,Turnips,Midland,000 Hectares,
Area Farmed in June,2021,Beet,State,000 Hectares,
Area Farmed in June,2021,Beet,Northern and Western,000 Hectares,
Area Farmed in June,2021,Beet,Border,000 Hectares,
Area Farmed in June,2021,Beet,West,000 Hectares,
Area Farmed in June,2021,Beet,Southern,000 Hectares,
Area Farmed in June,2021,Beet,Mid-West,000 Hectares,
Area Farmed in June,2021,Beet,South-East,000 Hectares,
Area Farmed in June,2021,Beet,South-West,000 Hectares,
Area Farmed in June,2021,Beet,Eastern and Midland,000 Hectares,
Area Farmed in June,2021,Beet,Dublin and Mid-East,000 Hectares,
Area Farmed in June,2021,Beet,Midland,000 Hectares,
Area Farmed in June,2021,Vegetables for sale,State,000 Hectares,
Area Farmed in June,2021,Vegetables for sale,Northern and Western,000 Hectares,
Area Farmed in June,2021,Vegetables for sale,Border,000 Hectares,
Area Farmed in June,2021,Vegetables for sale,West,000 Hectares,
Area Farmed in June,2021,Vegetables for sale,Southern,000 Hectares,
Area Farmed in June,2021,Vegetables for sale,Mid-West,000 Hectares,
Area Farmed in June,2021,Vegetables for sale,South-East,000 Hectares,
Area Farmed in June,2021,Vegetables for sale,South-West,000 Hectares,
Area Farmed in June,2021,Vegetables for sale,Eastern and Midland,000 Hectares,
Area Farmed in June,2021,Vegetables for sale,Dublin and Mid-East,000 Hectares,
Area Farmed in June,2021,Vegetables for sale,Midland,000 Hectares,
Area Farmed in June,2021,Fruit,State,000 Hectares,
Area Farmed in June,2021,Fruit,Northern and Western,000 Hectares,
Area Farmed in June,2021,Fruit,Border,000 Hectares,
Area Farmed in June,2021,Fruit,West,000 Hectares,
Area Farmed in June,2021,Fruit,Southern,000 Hectares,
Area Farmed in June,2021,Fruit,Mid-West,000 Hectares,
Area Farmed in June,2021,Fruit,South-East,000 Hectares,
Area Farmed in June,2021,Fruit,South-West,000 Hectares,
Area Farmed in June,2021,Fruit,Eastern and Midland,000 Hectares,
Area Farmed in June,2021,Fruit,Dublin and Mid-East,000 Hectares,
Area Farmed in June,2021,Fruit,Midland,000 Hectares,
Area Farmed in June,2021,"Nurseries, horticulture etc.",State,000 Hectares,
Area Farmed in June,2021,"Nurseries, horticulture etc.",Northern and Western,000 Hectares,
Area Farmed in June,2021,"Nurseries, horticulture etc.",Border,000 Hectares,
Area Farmed in June,2021,"Nurseries, horticulture etc.",West,000 Hectares,
Area Farmed in June,2021,"Nurseries, horticulture etc.",Southern,000 Hectares,
Area Farmed in June,2021,"Nurseries, horticulture etc.",Mid-West,000 Hectares,
Area Farmed in June,2021,"Nurseries, horticulture etc.",South-East,000 Hectares,
Area Farmed in June,2021,"Nurseries, horticulture etc.",South-West,000 Hectares,
Area Farmed in June,2021,"Nurseries, horticulture etc.",Eastern and Midland,000 Hectares,
Area Farmed in June,2021,"Nurseries, horticulture etc.",Dublin and Mid-East,000 Hectares,
Area Farmed in June,2021,"Nurseries, horticulture etc.",Midland,000 Hectares,
Area Farmed in June,2021,Other crops,State,000 Hectares,
Area Farmed in June,2021,Other crops,Northern and Western,000 Hectares,
Area Farmed in June,2021,Other crops,Border,000 Hectares,
Area Farmed in June,2021,Other crops,West,000 Hectares,
Area Farmed in June,2021,Other crops,Southern,000 Hectares,
Area Farmed in June,2021,Other crops,Mid-West,000 Hectares,
Area Farmed in June,2021,Other crops,South-East,000 Hectares,
Area Farmed in June,2021,Other crops,South-West,000 Hectares,
Area Farmed in June,2021,Other crops,Eastern and Midland,000 Hectares,
Area Farmed in June,2021,Other crops,Dublin and Mid-East,000 Hectares,
Area Farmed in June,2021,Other crops,Midland,000 Hectares,
Area Farmed in June,2021,Total cereals,State,000 Hectares,272.0
Area Farmed in June,2021,Total cereals,Northern and Western,000 Hectares,
Area Farmed in June,2021,Total cereals,Border,000 Hectares,
Area Farmed in June,2021,Total cereals,West,000 Hectares,
Area Farmed in June,2021,Total cereals,Southern,000 Hectares,
Area Farmed in June,2021,Total cereals,Mid-West,000 Hectares,
Area Farmed in June,2021,Total cereals,South-East,000 Hectares,
Area Farmed in June,2021,Total cereals,South-West,000 Hectares,
Area Farmed in June,2021,Total cereals,Eastern and Midland,000 Hectares,
Area Farmed in June,2021,Total cereals,Dublin and Mid-East,000 Hectares,
Area Farmed in June,2021,Total cereals,Midland,000 Hectares,
Area Farmed in June,2021,Total wheat,State,000 Hectares,61.4
Area Farmed in June,2021,Total wheat,Northern and Western,000 Hectares,
Area Farmed in June,2021,Total wheat,Border,000 Hectares,
Area Farmed in June,2021,Total wheat,West,000 Hectares,
Area Farmed in June,2021,Total wheat,Southern,000 Hectares,
Area Farmed in June,2021,Total wheat,Mid-West,000 Hectares,
Area Farmed in June,2021,Total wheat,South-East,000 Hectares,
Area Farmed in June,2021,Total wheat,South-West,000 Hectares,
Area Farmed in June,2021,Total wheat,Eastern and Midland,000 Hectares,
Area Farmed in June,2021,Total wheat,Dublin and Mid-East,000 Hectares,
Area Farmed in June,2021,Total wheat,Midland,000 Hectares,
Area Farmed in June,2021,Winter wheat,State,000 Hectares,55.4
Area Farmed in June,2021,Winter wheat,Northern and Western,000 Hectares,
Area Farmed in June,2021,Winter wheat,Border,000 Hectares,
Area Farmed in June,2021,Winter wheat,West,000 Hectares,
Area Farmed in June,2021,Winter wheat,Southern,000 Hectares,
Area Farmed in June,2021,Winter wheat,Mid-West,000 Hectares,
Area Farmed in June,2021,Winter wheat,South-East,000 Hectares,
Area Farmed in June,2021,Winter wheat,South-West,000 Hectares,
Area Farmed in June,2021,Winter wheat,Eastern and Midland,000 Hectares,
Area Farmed in June,2021,Winter wheat,Dublin and Mid-East,000 Hectares,
Area Farmed in June,2021,Winter wheat,Midland,000 Hectares,
Area Farmed in June,2021,Spring wheat,State,000 Hectares,5.9
Area Farmed in June,2021,Spring wheat,Northern and Western,000 Hectares,
Area Farmed in June,2021,Spring wheat,Border,000 Hectares,
Area Farmed in June,2021,Spring wheat,West,000 Hectares,
Area Farmed in June,2021,Spring wheat,Southern,000 Hectares,
Area Farmed in June,2021,Spring wheat,Mid-West,000 Hectares,
Area Farmed in June,2021,Spring wheat,South-East,000 Hectares,
Area Farmed in June,2021,Spring wheat,South-West,000 Hectares,
Area Farmed in June,2021,Spring wheat,Eastern and Midland,000 Hectares,
Area Farmed in June,2021,Spring wheat,Dublin and Mid-East,000 Hectares,
Area Farmed in June,2021,Spring wheat,Midland,000 Hectares,
Area Farmed in June,2021,Total oats,State,000 Hectares,27.8
Area Farmed in June,2021,Total oats,Northern and Western,000 Hectares,
Area Farmed in June,2021,Total oats,Border,000 Hectares,
Area Farmed in June,2021,Total oats,West,000 Hectares,
Area Farmed in June,2021,Total oats,Southern,000 Hectares,
Area Farmed in June,2021,Total oats,Mid-West,000 Hectares,
Area Farmed in June,2021,Total oats,South-East,000 Hectares,
Area Farmed in June,2021,Total oats,South-West,000 Hectares,
Area Farmed in June,2021,Total oats,Eastern and Midland,000 Hectares,
Area Farmed in June,2021,Total oats,Dublin and Mid-East,000 Hectares,
Area Farmed in June,2021,Total oats,Midland,000 Hectares,
Area Farmed in June,2021,Winter oats,State,000 Hectares,13.7
